16-06-2025 18:54:35- INFO| TeleBot: credentials imported from text file successfully. | file:Notification_Module.py|func:telegram_credentials|line: 23|thread: MainThread
16-06-2025 18:55:33- INFO| EMA_200_50: Checking for inst: LAURUSLABS | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:33- INFO| EMA_200_50: Checking for inst: POONAWALLA | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:34- INFO| EMA_200_50: Checking for inst: INOXWIND | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:34- INFO| EMA_200_50: Checking for inst: ZENTEC | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:35- INFO| EMA_200_50: Checking for inst: NEWGEN | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:35- INFO| EMA_200_50: Checking for inst: NATCOPHARM | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:35- INFO| EMA_200_50: Checking for inst: SHYAMMETL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:36- INFO| EMA_200_50: Checking for inst: AARTIIND | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:36- INFO| EMA_200_50: Checking for inst: IIFL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:37- INFO| EMA_200_50: Checking for inst: CAMS | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:37- INFO| EMA_200_50: Checking for inst: ATUL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:38- INFO| EMA_200_50: Checking for inst: PNBHOUSING | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:39- INFO| EMA_200_50: Checking for inst: HSCL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:39- INFO| EMA_200_50: Checking for inst: RITES | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:39- INFO| EMA_200_50: Checking for inst: IEX | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:41- INFO| EMA_200_50: Checking for inst: KPIL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:41- INFO| EMA_200_50: Checking for inst: KEC | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:42- INFO| EMA_200_50: Checking for inst: TEJASNET | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:42- INFO| EMA_200_50: Checking for inst: MGL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:42- INFO| EMA_200_50: Checking for inst: RKFORGE | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:43- INFO| EMA_200_50: Checking for inst: CREDITACC | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:43- INFO| EMA_200_50: Checking for inst: TITAGARH | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:44- INFO| EMA_200_50: Checking for inst: PPLPHARMA | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:44- INFO| EMA_200_50: Checking for inst: DEVYANI | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:45- INFO| EMA_200_50: Checking for inst: ITI | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:45- INFO| EMA_200_50: Checking for inst: PCBL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:45- INFO| EMA_200_50: Checking for inst: RADICO | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:46- INFO| EMA_200_50: Checking for inst: NCC | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:46- INFO| EMA_200_50: Checking for inst: TTML | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:46- INFO| EMA_200_50: Checking for inst: CASTROLIND | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:47- INFO| EMA_200_50: Checking for inst: NBCC | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:47- INFO| EMA_200_50: Checking for inst: JWL | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:48- INFO| EMA_200_50: Checking for inst: NEULANDLAB | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:48- INFO| EMA_200_50: Checking for inst: AFCONS | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:48- INFO| EMA_200_50: Checking for inst: GODIGIT | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:49- INFO| EMA_200_50: Checking for inst: WELCORP | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:50- INFO| EMA_200_50: Checking for inst: INDIAMART | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
16-06-2025 18:55:50- INFO| EMA_200_50: Checking for inst: BRIGADE | smallcap100..... | file:EMA_main.py|func:<module>|line: 150|thread: MainThread
