Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Formatted Ins Name,Trading Symbol,Expiry Date,Lot Size,Tick Size
NFO,nse_fo,CESC,36080,OPTSTK,CE,205,CESC LTD,CESC JUL 205 CE,CESC31JUL25C205,2025-07-31,3625,0.05
NFO,nse_fo,CESC,36081,OPTSTK,PE,205,CESC LTD,CESC JUL 205 PE,CESC31JUL25P205,2025-07-31,3625,0.05
NFO,nse_fo,BLUESTARCO,36092,OPTSTK,CE,2040,BLUE STAR LIMITED,BLUESTARCO AUG 2040 CE,BLUESTARCO28AUG25C2040,2025-08-28,325,0.05
NFO,nse_fo,BLUESTARCO,36095,OPTSTK,PE,2040,BLUE STAR LIMITED,BLUESTARCO AUG 2040 PE,BLUESTARCO28AUG25P2040,2025-08-28,325,0.05
NFO,nse_fo,COFORGE,36132,OPTSTK,CE,1960,COFORGE LIMITED,COFORGE JUL 1960 CE,COFORGE31JUL25C1960,2025-07-31,375,0.05
NFO,nse_fo,COFORGE,36133,OPTSTK,PE,1960,COFORGE LIMITED,COFORGE JUL 1960 PE,COFORGE31JUL25P1960,2025-07-31,375,0.05
NFO,nse_fo,MANAPPURAM,36275,OPTSTK,CE,295,MANAPPURAM FINANCE LTD,MANAPPURAM JUL 295 CE,MANAPPURAM31JUL25C295,2025-07-31,3000,0.05
NFO,nse_fo,MANAPPURAM,36276,OPTSTK,PE,295,MANAPPURAM FINANCE LTD,MANAPPURAM JUL 295 PE,MANAPPURAM31JUL25P295,2025-07-31,3000,0.05
NFO,nse_fo,CDSL,36279,OPTSTK,CE,1860,CENTRAL DEPO SER (I) LTD,CDSL JUL 1860 CE,CDSL31JUL25C1860,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36282,OPTSTK,PE,1860,CENTRAL DEPO SER (I) LTD,CDSL JUL 1860 PE,CDSL31JUL25P1860,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36283,OPTSTK,CE,1900,CENTRAL DEPO SER (I) LTD,CDSL JUL 1900 CE,CDSL31JUL25C1900,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36284,OPTSTK,PE,1900,CENTRAL DEPO SER (I) LTD,CDSL JUL 1900 PE,CDSL31JUL25P1900,2025-07-31,475,0.05
NFO,nse_fo,CDSL,36285,OPTSTK,CE,1940,CENTRAL DEPO SER (I) LTD,CDSL JUL 1940 CE,CDSL31JUL25C1940,2025-07-31,475,0.05
NFO,nse_fo,CYIENT,36293,OPTSTK,CE,1560,CYIENT LIMITED,CYIENT JUL 1560 CE,CYIENT31JUL25C1560,2025-07-31,425,0.05
